"","nr","alg","argument","set","scaled","FM","AR"
"75",75,"spectral","4","a2",FALSE,0.478900195608919,0.381336355987731
"76",76,"spectral","4","a3",FALSE,0.521356562951779,0.444398493310778
"77",77,"spectral","4","aggregation",FALSE,0.810101039499022,0.758081166934741
"78",78,"spectral","4","compound",FALSE,0.559567260079966,0.36713496665212
"79",79,"spectral","4","d31",FALSE,0.6383007639947,0.596558397340647
"80",80,"spectral","4","flame",FALSE,0.591634772099076,0.0753609155245346
"81",81,"spectral","4","jain",FALSE,0.790449630182808,0.514616982682244
"82",82,"spectral","4","pathbased",FALSE,0.672925816712896,0.454075424617536
"83",83,"spectral","4","r15",FALSE,0.810471275581605,0.785761797539822
"84",84,"spectral","4","s1",FALSE,0.65660987662418,0.594936024605635
"85",85,"spectral","4","s2",FALSE,0.815158934403675,0.79983918709734
"86",86,"spectral","4","s3",FALSE,0.697403320614836,0.67525303108137
"87",87,"spectral","4","s4",FALSE,0.562652636203458,0.528924081852656
"88",88,"spectral","4","spiral",FALSE,0.610710512764132,0.36745966663618
"89",89,"spectral","4","unbalance",FALSE,0.657600472423093,0.5266939075477
"90",90,"spectral","4","cross",FALSE,0.417227514969296,0.0276449298124665
"91",91,"spectral","4","smile",FALSE,0.520322416259235,0.327155067567496
"92",92,"spectral","4","twosplashes",FALSE,0.655922243569934,0.210155713304328
"93",93,"spectral","4","x1",FALSE,0.725542319619744,0.53831231813773
"94",94,"spectral","4","x2",FALSE,0.66782776896635,0.473535045590941
"95",95,"spectral","4","x3",FALSE,0.743057776973527,0.62349830915773
"96",96,"spectral","4","z1",FALSE,0.413017085259876,0.0909812857154406
"97",97,"spectral","4","z2",FALSE,0.651681776707229,0.461749850514226
"98",98,"spectral","4","z3",FALSE,0.745578487927804,0.640683163278937
"99",99,"spectral","5","atom",FALSE,0.699717707913589,0.344475420243451
"100",100,"spectral","5","chainlink",FALSE,0.502364138976911,-0.000988507714068285
"101",101,"spectral","5","engytime",FALSE,0.703919930064341,0.377775512233627
"102",102,"spectral","5","hepta",FALSE,0.841418680951519,0.808039488901475
"103",103,"spectral","5","lsun",FALSE,0.67334829679508,0.476560199191454
"104",104,"spectral","5","target",FALSE,0.61584603292745,0.38647521890779
"105",105,"spectral","5","tetra",FALSE,0.738464294284611,0.624804538193834
"106",106,"spectral","5","twodiamonds",FALSE,0.658145001310653,0.199560254367297
"107",107,"spectral","5","wingnut",FALSE,0.507990495270931,0.0169495131889672
"108",108,"spectral","5","dense",FALSE,0.685109347579093,0.322011222692063
"109",109,"spectral","5","fuzzyx",FALSE,0.552817081714671,0.41584646116384
"110",110,"spectral","5","line",FALSE,0.631710309718521,0.11506956182551
"111",111,"spectral","5","parabolic",FALSE,0.651771883351706,0.0363498028296044
"112",112,"spectral","5","ring",FALSE,0.646957455773962,0.119211434230658
"113",113,"spectral","5","zigzag",FALSE,0.778875231959354,0.499391893568964
"114",114,"spectral","5","by_voivodeship",FALSE,0.470250799563625,0.418551827815543
"115",115,"spectral","5","pizza1",FALSE,1,1
"116",116,"spectral","5","pizza2",FALSE,0.955794219127528,0.946329616944834
"117",117,"spectral","5","simple_agglomerations1",FALSE,0.752435696610466,0.674033707538154
"118",118,"spectral","5","simple_agglomerations2",FALSE,0.520539361297886,0.261517073803881
"119",119,"spectral","5","simple_agglomerations3",FALSE,0.802832131840401,0.744939319165666
"120",120,"spectral","5","iris",FALSE,0.63005803850299,0.425179562776401
"121",121,"spectral","5","iris5",FALSE,0.797381492050391,0.654818610319997
"122",122,"spectral","5","square",FALSE,0.65624230454303,0.18954279278135
"123",123,"spectral","5","a1",FALSE,0.438144351237199,0.306134232673466
"124",124,"spectral","5","a2",FALSE,0.631507507802247,0.577952596277233
"125",125,"spectral","5","a3",FALSE,0.602256106072775,0.546347428606484
"126",126,"spectral","5","aggregation",FALSE,0.709755871297486,0.635088514045059
"127",127,"spectral","5","compound",FALSE,0.554621280148526,0.39810964967273
"128",128,"spectral","5","d31",FALSE,0.508944090344806,0.417575909277001
"129",129,"spectral","5","flame",FALSE,0.725436780018535,0.431157323542321
"130",130,"spectral","5","jain",FALSE,0.692081993720846,0.306352843660798
"131",131,"spectral","5","pathbased",FALSE,0.53591821488971,0.123092029416877
"132",132,"spectral","5","r15",FALSE,0.666649623870465,0.612225034627467
"133",133,"spectral","5","s1",FALSE,0.505997509447749,0.369152654335087
"134",134,"spectral","5","s2",FALSE,0.702786722501621,0.661092237727379
"135",135,"spectral","5","s3",FALSE,0.590012277826431,0.549156991421383
"136",136,"spectral","5","s4",FALSE,0.528330819190121,0.488420872230128
"137",137,"spectral","5","spiral",FALSE,0.462689147730859,0.166106170926644
"138",138,"spectral","5","unbalance",FALSE,0.594958220639682,0.458826106860655
"139",139,"spectral","5","cross",FALSE,0.423417141831732,0.153011854821121
"140",140,"spectral","5","smile",FALSE,0.411494394296753,0.146298545253677
"141",141,"spectral","5","twosplashes",FALSE,0.645889692628759,0.114347211945921
"142",142,"spectral","5","x1",FALSE,0.85034019096117,0.772860131455956
"143",143,"spectral","5","x2",FALSE,0.627270683289507,0.388986338102297
"144",144,"spectral","5","x3",FALSE,0.861539531271109,0.810652911298968
"145",145,"spectral","5","z1",FALSE,0.433634565472207,0.127785147920963
"146",146,"spectral","5","z2",FALSE,0.765814566277314,0.643373963913611
"147",147,"spectral","5","z3",FALSE,0.774469742054588,0.68076268347378
"148",148,"spectral","6","atom",FALSE,1,1
"149",149,"spectral","6","chainlink",FALSE,0.499014059925933,-0.00100193981550685
"150",150,"spectral","6","engytime",FALSE,0.9022420256217,0.803636712935281
"151",151,"spectral","6","hepta",FALSE,0.711422054540087,0.636491386659912
"152",152,"spectral","6","lsun",FALSE,0.730347716799917,0.465969483538951
"153",153,"spectral","6","target",FALSE,0.575188199519573,0.337601530142839
"154",154,"spectral","6","tetra",FALSE,1,1
"155",155,"spectral","6","twodiamonds",FALSE,0.694728197237933,0.32993785084673
"156",156,"spectral","6","wingnut",FALSE,1,1
"157",157,"spectral","6","dense",FALSE,0.693501400229929,0.345260272064416
"158",158,"spectral","6","fuzzyx",FALSE,0.575497247624627,0.43715426956075
"159",159,"spectral","6","line",FALSE,0.729780241031256,0.331244404655327
"160",160,"spectral","6","parabolic",FALSE,0.818090935974182,0.636440257224
"161",161,"spectral","6","ring",FALSE,0.68849160016028,0.31080889692451
"162",162,"spectral","6","zigzag",FALSE,0.678013613426262,0.462919968244933
"163",163,"spectral","6","by_voivodeship",FALSE,0.620197666944056,0.584328298129371
"164",164,"spectral","6","pizza1",FALSE,1,1
"165",165,"spectral","6","pizza2",FALSE,0.683989094577103,0.585271270542132
"166",166,"spectral","6","simple_agglomerations1",FALSE,0.744244452030831,0.641139250979963
"167",167,"spectral","6","simple_agglomerations2",FALSE,0.861627231000394,0.790682510878195
"168",168,"spectral","6","simple_agglomerations3",FALSE,0.928291995632528,0.914961336723873
"169",169,"spectral","6","iris",FALSE,0.604247035774831,0.36485027075251
"170",170,"spectral","6","iris5",FALSE,0.624898417380876,0.328384514644505
"171",171,"spectral","6","square",FALSE,0.68028512316648,0.284595389182031
"172",172,"spectral","6","a1",FALSE,0.711790629512634,0.67696727673419
"173",173,"spectral","6","a2",FALSE,0.553263579951544,0.474079493611329
"174",174,"spectral","6","a3",FALSE,0.650046532496303,0.607859416296838
"175",175,"spectral","6","aggregation",FALSE,0.566429182056036,0.439225669418412
"176",176,"spectral","6","compound",FALSE,0.628015643225414,0.515918997304791
"177",177,"spectral","6","d31",FALSE,0.432733792412121,0.318273765010019
"178",178,"spectral","6","flame",FALSE,0.969605564360485,0.933736109524916
"179",179,"spectral","6","jain",FALSE,1,1
"180",180,"spectral","6","pathbased",FALSE,0.680009261950221,0.49921621122584
"181",181,"spectral","6","r15",FALSE,0.448792691851441,0.293310464155719
"182",182,"spectral","6","s1",FALSE,0.598973215492575,0.501170799838214
"183",183,"spectral","6","s2",FALSE,0.717568294972417,0.680913133581312
"184",184,"spectral","6","s3",FALSE,0.587517002146949,0.545533885370417
"185",185,"spectral","6","s4",FALSE,0.613312350863267,0.583026460293189
"186",186,"spectral","6","spiral",FALSE,0.554320999146777,0.260245210518164
"187",187,"spectral","6","unbalance",FALSE,0.769535135663156,0.679136457939282
"188",188,"spectral","6","cross",FALSE,0.526038396500129,0.355585509187636
"189",189,"spectral","6","smile",FALSE,0.602944494880016,0.463283899703726
"190",190,"spectral","6","twosplashes",FALSE,0.750804020100503,0.502854020100503
"191",191,"spectral","6","x1",FALSE,0.711619152942436,0.546455492504446
"192",192,"spectral","6","x2",FALSE,0.650253308519678,0.445231469769795
"193",193,"spectral","6","x3",FALSE,0.776159855155899,0.656430475145586
"194",194,"spectral","6","z1",FALSE,0.547765987713209,0.240617030785054
"195",195,"spectral","6","z2",FALSE,0.557630184710475,0.238166224443121
"196",196,"spectral","6","z3",FALSE,0.549903642102949,0.300421933154068
"197",197,"spectral","7","atom",FALSE,1,1
"198",198,"spectral","7","chainlink",FALSE,0.500445689375214,-0.000996210667221582
"199",199,"spectral","7","engytime",FALSE,0.686398687457459,0.33352071083918
"200",200,"spectral","7","hepta",FALSE,0.887640954570723,0.86756254483671
"201",201,"spectral","7","lsun",FALSE,0.710430766211685,0.546238064812525
"202",202,"spectral","7","target",FALSE,0.481741420861197,0.221992995725959
"203",203,"spectral","7","tetra",FALSE,1,1
"204",204,"spectral","7","twodiamonds",FALSE,0.70823099614654,0.368387528319349
"205",205,"spectral","7","wingnut",FALSE,1,1
"206",206,"spectral","7","dense",FALSE,0.980004059577927,0.960200080403878
"207",207,"spectral","7","fuzzyx",FALSE,0.601900827726817,0.495306502780391
"208",208,"spectral","7","line",FALSE,0.602564102564103,-0.0635571501793952
"209",209,"spectral","7","parabolic",FALSE,0.651771883351706,0.0363498028296044
"210",210,"spectral","7","ring",FALSE,0.95692399435581,0.91384993064783
"211",211,"spectral","7","zigzag",FALSE,0.778875231959354,0.499391893568964
"212",212,"spectral","7","by_voivodeship",FALSE,0.600587214426433,0.561166549581747
"213",213,"spectral","7","pizza1",FALSE,1,1
"214",214,"spectral","7","pizza2",FALSE,0.932551952316693,0.918083638363303
"215",215,"spectral","7","simple_agglomerations1",FALSE,0.710936033979824,0.614380872263292
"216",216,"spectral","7","simple_agglomerations2",FALSE,0.551282338051321,0.313429216997135
"217",217,"spectral","7","simple_agglomerations3",FALSE,0.921752135074596,0.907456228800658
"218",218,"spectral","7","iris",FALSE,0.832050294337844,0.745503868180448
"219",219,"spectral","7","iris5",FALSE,0.648655135122322,0.33525228581104
"220",220,"spectral","7","square",FALSE,0.670237980662061,0.249436513899324
"221",221,"spectral","7","a1",FALSE,0.672228726890295,0.621355892694248
"222",222,"spectral","7","a2",FALSE,0.512982799473969,0.419733796876133
"223",223,"spectral","7","a3",FALSE,0.482759488379688,0.392019873830642
"224",224,"spectral","7","aggregation",FALSE,0.65877650383622,0.5711528899958
"225",225,"spectral","7","compound",FALSE,0.633243842285335,0.522285884057119
"226",226,"spectral","7","d31",FALSE,0.624922291180132,0.572405850987108
"227",227,"spectral","7","flame",FALSE,0.71033103817102,0.398542096291492
"228",228,"spectral","7","jain",FALSE,0.585835309903255,-0.00448054570151987
"229",229,"spectral","7","pathbased",FALSE,0.536936618337409,0.135679829239984
"230",230,"spectral","7","r15",FALSE,0.596766091851723,0.506164401523645
"231",231,"spectral","7","s1",FALSE,0.589753892186921,0.491185359678494
"232",232,"spectral","7","s2",FALSE,0.864002258348449,0.853015698484827
"233",233,"spectral","7","s3",FALSE,0.700938309387757,0.677829498541989
"234",234,"spectral","7","s4",FALSE,0.65677253618678,0.632246836206389
"235",235,"spectral","7","spiral",FALSE,0.56694143877687,0.278878387829995
"236",236,"spectral","7","unbalance",FALSE,0.552829997241887,0.36610706465641
"237",237,"spectral","7","cross",FALSE,0.473890028748819,0.274317479111268
"238",238,"spectral","7","smile",FALSE,0.518703432782314,0.345232210122828
"239",239,"spectral","7","twosplashes",FALSE,0.497939698492462,-0.00161030150753778
"240",240,"spectral","7","x1",FALSE,1,1
"241",241,"spectral","7","x2",FALSE,0.795185514456828,0.688287234237034
"242",242,"spectral","7","x3",FALSE,0.737992598480413,0.604005701560859
"243",243,"spectral","7","z1",FALSE,0.420264298280746,0.105824116878243
"244",244,"spectral","7","z2",FALSE,0.786974959939485,0.671999147377412
"245",245,"spectral","7","z3",FALSE,0.703710611600074,0.483240352494053
"246",246,"spectral","8","atom",FALSE,1,1
"247",247,"spectral","8","chainlink",FALSE,1,1
"248",248,"spectral","8","engytime",FALSE,0.69112560324949,0.344899855081052
"249",249,"spectral","8","hepta",FALSE,0.647132831148622,0.54010525912709
"250",250,"spectral","8","lsun",FALSE,0.655791381267113,0.44447109139237
"251",251,"spectral","8","target",FALSE,0.584877078548589,0.348943752384584
"252",252,"spectral","8","tetra",FALSE,0.760891132699966,0.647665055502087
"253",253,"spectral","8","twodiamonds",FALSE,0.721004337056698,0.402576900617062
"254",254,"spectral","8","wingnut",FALSE,1,1
"255",255,"spectral","8","dense",FALSE,0.980004059577927,0.960200080403878
"256",256,"spectral","8","fuzzyx",FALSE,0.602647335682516,0.492855375006953
"257",257,"spectral","8","line",FALSE,1,1
"258",258,"spectral","8","parabolic",FALSE,0.829353921692535,0.659002752860247
"259",259,"spectral","8","ring",FALSE,0.662888166422337,0.220338784404269
"260",260,"spectral","8","zigzag",FALSE,0.713178862923122,0.520956428938148
"261",261,"spectral","8","by_voivodeship",FALSE,0.637111850443419,0.602989758008465
"262",262,"spectral","8","pizza1",FALSE,1,1
"263",263,"spectral","8","pizza2",FALSE,0.820479153494366,0.76641964865436
"264",264,"spectral","8","simple_agglomerations1",FALSE,0.764288704330796,0.696310468818844
"265",265,"spectral","8","simple_agglomerations2",FALSE,0.875039897017216,0.81112599803764
"266",266,"spectral","8","simple_agglomerations3",FALSE,0.844446131526924,0.812882244882899
"267",267,"spectral","8","iris",FALSE,0.604247035774831,0.36485027075251
"268",268,"spectral","8","iris5",FALSE,0.506376107408514,0.194488897779556
"269",269,"spectral","8","square",FALSE,0.665659270008108,0.231761335542487
"270",270,"spectral","8","a1",FALSE,0.779390803746661,0.757923953419596
"271",271,"spectral","8","a2",FALSE,0.507935349544733,0.418131728773102
"272",272,"spectral","8","a3",FALSE,0.404604312438534,0.285062199014951
"273",273,"spectral","8","aggregation",FALSE,0.958961280757504,0.947652250488952
"274",274,"spectral","8","compound",FALSE,0.638781039532579,0.529379701002752
"275",275,"spectral","8","d31",FALSE,0.529649962132131,0.444084957226424
"276",276,"spectral","8","flame",FALSE,0.715331690096526,0.40926293174055
"277",277,"spectral","8","jain",FALSE,1,1
"278",278,"spectral","8","pathbased",FALSE,0.791661800934927,0.68359451160085
"279",279,"spectral","8","r15",FALSE,0.694400619042872,0.650454021227963
"280",280,"spectral","8","s1",FALSE,0.704768214131285,0.647378921123863
"281",281,"spectral","8","s2",FALSE,0.555287482989869,0.463966926420517
"282",282,"spectral","8","s3",FALSE,0.590521388148901,0.547867039603327
"283",283,"spectral","8","s4",FALSE,0.592518388877964,0.558130431749975
"284",284,"spectral","8","spiral",FALSE,0.55722534100863,0.258098268223868
"285",285,"spectral","8","unbalance",FALSE,0.721251107107654,0.619686667919929
"286",286,"spectral","8","cross",FALSE,0.445439793179072,0.234860692548049
"287",287,"spectral","8","smile",FALSE,0.57428650577916,0.426377565471446
"288",288,"spectral","8","twosplashes",FALSE,0.750804020100503,0.502854020100503
"289",289,"spectral","8","x1",FALSE,0.742343209434021,0.602198316183349
"290",290,"spectral","8","x2",FALSE,0.660766754661033,0.486660907966698
"291",291,"spectral","8","x3",FALSE,0.920522914623779,0.891963753840745
"292",292,"spectral","8","z1",FALSE,0.558069507467643,0.265686221261322
"293",293,"spectral","8","z2",FALSE,0.762245764187921,0.638289561864969
"294",294,"spectral","8","z3",FALSE,0.685796706765261,0.536726774406021
"295",295,"spectral","9","atom",FALSE,1,1
"296",296,"spectral","9","chainlink",FALSE,1,1
"297",297,"spectral","9","engytime",FALSE,0.696541196503076,0.362324487537249
"298",298,"spectral","9","hepta",FALSE,0.841418680951519,0.808039488901475
"299",299,"spectral","9","lsun",FALSE,0.727225686399939,0.461485739298714
"300",300,"spectral","9","target",FALSE,0.613834601604006,0.383987306145829
"301",301,"spectral","9","tetra",FALSE,1,1
"302",302,"spectral","9","twodiamonds",FALSE,0.729776603441123,0.425123638676199
"303",303,"spectral","9","wingnut",FALSE,0.512067278572427,0.025095054627979
"304",304,"spectral","9","dense",FALSE,0.700363551411314,0.36927568625135
"305",305,"spectral","9","fuzzyx",FALSE,0.555858253432176,0.430118375268413
"306",306,"spectral","9","line",FALSE,1,1
